wavelength,valueA,valueB,valueC,valueD
533.755,492.09,1065.81,2137.01,32128.1
534.102,489.55,1063.84,2127.72,32838.77
534.449,490.17,1059.25,2117.24,33523.71
534.796,488.45,1057.02,2111.48,34169.72
535.143,485.98,1049.61,2104.31,34846.14
535.49,487.59,1045.75,2092.66,35505
535.836,488.8,1041.91,2080.12,36196.32
536.183,488.96,1040.03,2074.12,36828.96
536.53,490.3,1035.91,2065.1,37471.05
536.877,488.23,1032.93,2055.41,38100.78
537.223,483.02,1029.49,2044.33,38678.75
537.57,483.02,1024.79,2034.49,39287.83
537.917,483.35,1025.4,2020.74,39839.93
538.263,482.07,1022.32,2007.57,40384.95
538.61,481.72,1016.76,1997.8,40937.66
538.956,480.37,1015.01,1987.91,41380.98
539.303,478.81,1011.35,1979.77,41780.17
539.649,476.6,1008.83,1972.11,42217.11
539.995,475.74,1005.08,1957.75,42631.7
540.342,474.02,1001.68,1950.07,43011.19
540.688,472.25,999.63,1940.4,43369.84
541.034,474.5,997.6,1935.97,43705.59
541.38,474,995.04,1928.2,43963.65
541.726,475.47,988.27,1924.29,44208.78
542.073,474.77,982.73,1920.63,44418.82
542.419,476.11,981.67,1912.31,44610.75
542.765,474.24,978.69,1904.88,44795.37
543.111,472.16,976.73,1897.04,44927.5
543.456,472.08,972.87,1886.98,44973.33
543.802,470.44,970.62,1883.98,44987.23
544.148,469.56,968.59,1871.25,44996.37
544.494,469.6,965.19,1865.64,44903.1
544.84,468.19,961.26,1857.81,44876.49
545.185,465.7,959.63,1850,44769.27
545.531,465.87,957.31,1837.8,44575.69
545.877,464.68,955.02,1828.4,44367.92
546.222,460.93,951,1819.53,44145.8
546.568,461.95,948.33,1812.38,43860.41
546.913,462.54,941.09,1807.55,43613.43
547.259,461.53,938.36,1802.43,43342
547.604,461.29,935.53,1791.08,43014.03
547.95,459.74,931.96,1785.48,42632.03
548.295,458.86,929.11,1773.56,42282.51
548.64,459.19,927.15,1763.94,41832.86
548.985,460.16,923.81,1752.56,41417.74
549.331,456.7,921.17,1743.86,41032.54
549.676,455.35,920.73,1733.4,40592.46
550.021,455.64,917.72,1724.47,40120.5
550.366,454.84,916,1711.82,39693.02
550.711,453.54,917.06,1701.83,39217.79
551.056,452.37,917.86,1693.29,38733.98
551.401,452.61,915.16,1686.36,38261
551.746,453.14,913.91,1678.15,37774.96
552.091,452.88,910.71,1673.74,37286.63
552.436,452.02,905.46,1664.05,36764.71
552.78,449.22,901.4,1658.96,36254.31
553.125,447.05,898.02,1655.12,35752.09
553.47,446.9,893.43,1648.94,35249.53
553.814,446.21,892.11,1644.86,34709.49
554.159,446.24,890.74,1642.05,34164.07
554.504,445.35,887.65,1637.38,33656.5
554.848,445.31,881.71,1632.83,33127.16
555.193,441.27,879.24,1627,32610.76
555.537,439.64,876.17,1621.75,32117.22
555.881,437.74,874.37,1613.61,31612.07
556.226,434.67,874.39,1608.51,31144.23
556.57,437.63,871.17,1601.36,30681.78
556.914,438.91,870.59,1594.17,30174.69
557.258,438.36,869.97,1587.09,29713.16
557.603,436.79,865.56,1579.96,29278.87
557.947,436.15,860.62,1572.48,28825.11
558.291,436.84,858.83,1564.49,28336.89
558.635,435.84,857.79,1555.84,27871.72
558.979,435.27,854.7,1551.43,27452.78
559.323,435.29,852.06,1545.07,26973.78
559.667,435.14,850.03,1538.79,26554.58
560.011,434.96,848.35,1532.23,26096.23
560.354,433.37,848.33,1527.91,25613.65
560.698,432.31,842.83,1520.89,25185.27
561.042,430.61,842.72,1517.32,24720.66
561.386,431.32,842.52,1509.9,24275.41
561.729,431.58,843.1,1503.97,23838.07
562.073,429.95,839.33,1494.54,23404.11
562.417,428.41,839.26,1488.54,22985.68
562.76,431.1,836.9,1481.24,22525.54
563.104,431.01,834.8,1478.59,22105.96
563.447,430.11,831.51,1476.27,21658.25
563.79,432.67,829.53,1474.05,21244.28
564.134,431.36,828.62,1469.39,20851.35
564.477,431.03,829.17,1466.76,20428.02
564.82,432.95,825.6,1462.62,20034.37
565.164,431.23,823.64,1456.55,19614
565.507,427.64,820.9,1452.07,19237.43
565.85,426.82,820.57,1448.29,18876.88
566.193,426.16,815.6,1441.1,18500.26
566.536,423.71,813,1436.33,18130.84
566.879,422.69,809.98,1425.81,17766.27
567.222,421.99,808.41,1421.95,17365.55
567.565,419.01,805.3,1410.74,16983.02
567.908,417.79,802.45,1407.89,16603.72
568.251,417.44,801.81,1401.82,16219.62
568.593,414.48,799.23,1396.44,15824.33
568.936,414.2,794.33,1391.87,15444.36
569.279,414.64,793.08,1386.2,15005.57
569.621,415.08,790.23,1383.27,14556.91
569.964,414.48,786.74,1379.49,14104.82
570.307,415.19,785.29,1371.04,13630.19
570.649,416.07,784.12,1368.55,13142.98
570.992,417.11,782.97,1359.88,12648.84
571.334,416.62,782.2,1358.6,12114.5
571.677,415.45,778.45,1350.7,11569.04
572.019,415.7,772.64,1343.55,11013.23
572.361,416.01,771.27,1336.2,10427.38
572.703,414.79,771.47,1330.86,9809.81
573.046,414.93,769.75,1326.07,9182.84
573.388,412.83,768.87,1322.92,8540.35
573.73,411.7,767.92,1321.11,7885.88
574.072,411.64,768.87,1319.92,7227.62
574.414,410.23,768.01,1313.14,6584.83
574.756,407.82,766.71,1308.16,5967.54
575.098,406.3,764.88,1301.91,5384.65
575.44,405.24,763.97,1297.03,4834.98
575.782,401.16,763.71,1296,4316.06
576.124,401.33,761.85,1291.01,3856.05
576.466,401.07,760.51,1290.24,3449.69
576.807,399.13,757.46,1284.92,3102.31
577.149,398.42,756.38,1280.07,2808.4
577.491,399.77,755.23,1274.06,2564.09
577.832,401.27,753.22,1269.12,2372.87
578.174,399.24,751.57,1269.5,2216.73
578.515,399.26,749.67,1267.75,2094.55
578.857,400.21,745.66,1267.11,1996.85
